,TW_NO,USER_NAME,TW_TIME,TW_TEXT,FAV,RT
0,1515556014896332801,fafa4343B,2022-04-17 14:01:26+00:00,おはようございます☀️連休始まり正午まで寝坊したけど強制的日光浴を兼ねてお買い物中🥳🎶先週のフェーン現象と違ってカラッとした晴天最高😃⤴️⤴️夜型体内時計がリセットされたかな😊,2,0
1,1515555657331662854,RadioTakasaki,2022-04-17 14:00:01+00:00,ラジオ高崎 presents[エコラボカフェ]初心者向け、かんたんマネー講座 無料のマネー講座を開催。参加希望者受付中！アクサ生命保険から資産運用のプロを講師として招き、初心者でもよくわかるように解説します😊🗓️5月11日… https://t.co/Apjj49Dt5H,0,0
2,1515555656601767940,flashbackj,2022-04-17 14:00:00+00:00,【告知】2022年4月18日正午スタートの春のクリエイティブ応援セールでは、200種類以上のレトロなタイトルとバックグラウンド、エフェクトプリセットを収録するFinal Cut Pro専用プラグイン、CineFlare Retro… https://t.co/Woo2JAB2Ob,2,1
3,1515554947487928327,cafe_lambie,2022-04-17 13:57:11+00:00,一気に冬を感じさせるような寒さが踵を返してきたかのような4月17日の日曜日。本日も正午より営業致しました！「桜降る代に決闘を」の大会が始まっております。ボードゲーム卓に余裕御座いますので、どうぞ気軽にお越し下さいませ。皆様… https://t.co/ISCCrEPGPS,0,0
4,1515554458423345155,chiicheesecake,2022-04-17 13:55:15+00:00,どうしよう…1番好きかもしれない、、すべてが良きすぎて言葉にならないよ🥺ほんと語彙力なくなっちゃう…(正午に公開って珍しいなてか初か？) https://t.co/Dgdoy9hE6Q,0,0
5,1515553487534555142,Aimai_takumi_,2022-04-17 13:51:23+00:00,沼田市長選に元市議3人届け出　藤岡は現職のみ　17日正午現在(上毛新聞) https://t.co/LMNXYxUMvx https://t.co/jksDxL9Ivz,0,0
6,1515553486968332288,jomo_news,2022-04-17 13:51:23+00:00,任期満了に伴う沼田、藤岡の両市長選が17日、告示されました。同日正午現在で、沼田は予想された元市議三人、藤岡は現職のみが届け出ています。 #選挙 #群馬 #gunma #上毛新聞 https://t.co/WKSkcXRDs1,2,0
7,1515553318382157824,suukin2015,2022-04-17 13:50:43+00:00,あとは明日のサッポロ割を確保すれば……正午からってお仕事中😭,0,0
8,1515552447347195913,hanajyu8,2022-04-17 13:47:15+00:00,新緑の御所です。日曜の正午にランニングして来ました^ ^雲ひとつ無い晴天。超爽快でした！静かな日曜です^ ^ https://t.co/W1RHW2GhpE,3,0
9,1515552332087320578,saikimi7,2022-04-17 13:46:48+00:00,40歳前後は「人生の正午」…！外面的自己をつくっていくことから、内面を直視して自己を成長させていく時期らしい。アラフォーでスピにどハマりする人たちが多いのはこれか。内面的になるのは歳のせいとは。ここからまだ人は成長する。レオナルドダヴィンチの知の爆発ってこれかもね。,1,0
10,1515551903760879622,brat0528,2022-04-17 13:45:06+00:00,ナイス 【読書メーターのキャンペーンに応募しました】心温まる感動の物語！柊サナカ『天国からの宅配便』を10名様にプレゼント！応募締め切りは2022年4月21日(木)正午です。詳細はこちら→ ht… → https://t.co/lCNCA7hHHY #bookmeter,0,0
11,1515551886950080516,brat0528,2022-04-17 13:45:02+00:00,ナイス 【読書メーターのキャンペーンに応募しました】心温まる感動の物語！柊サナカ『天国からの宅配便』を10名様にプレゼント！応募締め切りは2022年4月21日(木)正午です。詳細はこちら→ ht… → https://t.co/7oxJBY2eIn #bookmeter,0,0
12,1515551878095925250,brat0528,2022-04-17 13:44:59+00:00,ナイス 【読書メーターのキャンペーンに応募しました】心温まる感動の物語！柊サナカ『天国からの宅配便』を10名様にプレゼント！応募締め切りは2022年4月21日(木)正午です。詳細はこちら→ ht… → https://t.co/36Lf2wUKBB #bookmeter,0,0
13,1515551832986185730,brat0528,2022-04-17 13:44:49+00:00,ナイス 【読書メーターのキャンペーンに応募しました】心温まる感動の物語！柊サナカ『天国からの宅配便』を10名様にプレゼント！応募締め切りは2022年4月21日(木)正午です。詳細はこちら→ ht… → https://t.co/dxYBq375MN #bookmeter,0,0
14,1515551830670860290,brat0528,2022-04-17 13:44:48+00:00,ナイス 【読書メーターのキャンペーンに応募しました】心温まる感動の物語！柊サナカ『天国からの宅配便』を10名様にプレゼント！応募締め切りは2022年4月21日(木)正午です。詳細はこちら→ ht… → https://t.co/vRhTjv9OGj #bookmeter,0,0
15,1515551733547560960,brat0528,2022-04-17 13:44:25+00:00,ナイス 【読書メーターのキャンペーンに応募しました】心温まる感動の物語！柊サナカ『天国からの宅配便』を10名様にプレゼント！応募締め切りは2022年4月21日(木)正午です。詳細はこちら→ ht… → https://t.co/R1RCpw57Cs #bookmeter,0,0
16,1515551718460690432,brat0528,2022-04-17 13:44:21+00:00,ナイス 【読書メーターのキャンペーンに応募しました】心温まる感動の物語！柊サナカ『天国からの宅配便』を10名様にプレゼント！応募締め切りは2022年4月21日(木)正午です。詳細はこちら→ ht… → https://t.co/T8EUYao0f5 #bookmeter,0,0
