,GAP
0,-41667.0
1,-41783.0
2,-41793.0
3,-41825.0
4,-41895.0
5,-41918.0
6,-41937.0
7,-42041.0
8,-42246.0
9,-42257.0
10,-42353.0
11,-42362.0
12,-42398.0
13,-42402.0
14,-42529.0
15,-42568.0
16,-42633.0
17,-42671.0
18,-42704.0
19,-42913.0
20,-42989.0
21,-42989.0
22,-43035.0
23,-43056.0
24,-43058.0
25,-43065.0
26,-43101.0
27,-43115.0
28,-43152.0
29,-43156.0
30,-43156.0
31,-43166.0
32,-43170.0
33,-43200.0
34,-43200.0
35,43095.0
36,43065.0
37,43032.0
38,43014.0
39,42973.0
40,42971.0
41,42944.0
42,42899.0
43,42819.0
44,42747.0
45,42683.0
46,42683.0
47,42504.0
48,42475.0
49,42413.0
50,42173.0
51,42134.0
52,42100.0
53,41969.0
54,41770.0
55,41623.0
56,41581.0
57,41511.0
58,41511.0
59,41441.0
60,41433.0
61,41412.0
62,41158.0
63,41048.0
64,41039.0
65,41033.0
66,40871.0
67,40831.0
68,40727.0
69,40692.0
70,40588.0
71,40536.0
72,40383.0
73,40381.0
74,40316.0
75,40222.0
76,40216.0
77,40182.0
78,40151.0
79,40113.0
80,40111.0
81,40107.0
82,40004.0
83,39974.0
84,39961.0
85,39942.0
86,39903.0
87,39903.0
88,39897.0
89,39877.0
90,39763.0
91,39736.0
92,39611.0
93,39457.0
94,39444.0
95,39443.0
96,39262.0
97,39180.0
98,39040.0
99,38763.0
100,38743.0
101,38711.0
102,38662.0
103,38554.0
104,38522.0
105,38497.0
106,38488.0
107,38447.0
108,38385.0
109,38262.0
110,38026.0
111,38014.0
112,37991.0
113,37865.0
114,37838.0
115,37748.0
116,37729.0
117,37684.0
118,37682.0
119,37669.0
120,37648.0
121,37567.0
122,37499.0
123,37415.0
124,37392.0
125,37279.0
126,37238.0
127,37105.0
128,37097.0
129,37077.0
130,37035.0
131,36993.0
132,36972.0
133,36934.0
134,36900.0
135,36826.0
136,36756.0
137,36753.0
138,36739.0
139,36646.0
140,36616.0
141,36598.0
142,36473.0
143,36449.0
144,36282.0
145,36202.0
146,36181.0
147,36112.0
148,36105.0
149,36072.0
150,35777.0
151,35695.0
152,35689.0
153,35610.0
154,35556.0
155,35514.0
156,35424.0
157,35356.0
158,35343.0
159,35278.0
160,35270.0
161,35199.0
162,35138.0
163,35093.0
164,34923.0
165,34921.0
166,34854.0
167,34848.0
168,34675.0
169,34627.0
170,34552.0
171,34509.0
172,34492.0
173,34471.0
174,34431.0
175,34408.0
176,34356.0
177,34312.0
178,34259.0
179,34228.0
180,34220.0
181,34200.0
182,34170.0
183,34167.0
184,34152.0
185,34149.0
186,34129.0
187,34088.0
188,34007.0
189,33987.0
190,33864.0
191,33774.0
192,33630.0
193,33598.0
194,33591.0
195,33585.0
196,33543.0
197,33539.0
198,33440.0
199,33405.0
200,33396.0
201,33392.0
202,33391.0
203,33357.0
204,33345.0
205,33279.0
206,33264.0
207,33165.0
208,33163.0
209,32901.0
210,32840.0
211,32825.0
212,32790.0
213,32710.0
214,32687.0
215,32660.0
216,32519.0
217,32496.0
218,32489.0
219,32472.0
220,32460.0
221,32456.0
222,32403.0
223,32402.0
224,32401.0
225,32401.0
226,32397.0
227,32376.0
228,32355.0
229,32331.0
230,32278.0
231,32082.0
232,32040.0
233,31948.0
234,31890.0
235,31816.0
236,31785.0
237,31752.0
238,31706.0
239,31701.0
240,31519.0
241,31508.0
242,31505.0
243,31500.0
244,31391.0
245,31375.0
246,31245.0
247,31153.0
248,31102.0
249,31087.0
250,31005.0
251,30985.0
252,30958.0
253,30814.0
254,30795.0
255,30674.0
256,30632.0
257,30619.0
258,30618.0
259,30612.0
260,30608.0
261,30608.0
262,30607.0
263,30595.0
264,30587.0
265,30584.0
266,30569.0
267,30526.0
268,30464.0
269,30367.0
270,30326.0
271,30324.0
272,30274.0
273,30224.0
274,30203.0
275,30195.0
276,30158.0
277,30078.0
278,30030.0
279,30020.0
280,29989.0
281,29935.0
282,29887.0
283,29875.0
284,29805.0
285,29738.0
286,29585.0
287,29545.0
288,29539.0
289,29440.0
290,29324.0
291,29270.0
292,29091.0
293,28973.0
294,28916.0
295,28853.0
296,28839.0
297,28825.0
298,28825.0
299,28814.0
300,28809.0
301,28803.0
302,28802.0
303,28802.0
304,28800.0
305,28800.0
306,28761.0
307,28748.0
308,28744.0
309,28644.0
310,28642.0
311,28642.0
312,28626.0
313,28558.0
314,28535.0
315,28491.0
316,28442.0
317,28428.0
318,28395.0
319,28384.0
320,28380.0
321,28351.0
322,28284.0
323,28277.0
324,28122.0
325,28057.0
326,27999.0
327,27987.0
328,27984.0
329,27887.0
330,27884.0
331,27882.0
332,27869.0
333,27829.0
334,27812.0
335,27654.0
336,27647.0
337,27627.0
338,27581.0
339,27571.0
340,27458.0
341,27415.0
342,27372.0
343,27350.0
344,27349.0
345,27337.0
346,27325.0
347,27291.0
348,27271.0
349,27261.0
350,27223.0
351,27205.0
352,26964.0
353,26942.0
354,26891.0
355,26834.0
356,26833.0
357,26831.0
358,26766.0
359,26743.0
360,26693.0
361,26647.0
362,26611.0
363,26560.0
364,26545.0
365,26443.0
366,26407.0
367,26352.0
368,26344.0
369,26343.0
370,26320.0
371,26218.0
372,26218.0
373,26198.0
374,26172.0
375,26069.0
376,26040.0
377,25912.0
378,25895.0
379,25888.0
380,25877.0
381,25876.0
382,25794.0
383,25735.0
384,25680.0
385,25631.0
386,25603.0
387,25601.0
388,25463.0
389,25390.0
390,25356.0
391,25345.0
392,25323.0
393,25255.0
394,25219.0
395,25219.0
396,25203.0
397,25187.0
398,25087.0
399,25084.0
400,25042.0
401,24927.0
402,24909.0
403,24890.0
404,24881.0
405,24855.0
406,24854.0
407,24830.0
408,24776.0
409,24701.0
410,24687.0
411,24550.0
412,24501.0
413,24448.0
414,24438.0
415,24381.0
416,24378.0
417,24353.0
418,24323.0
419,24301.0
420,24252.0
421,24248.0
422,24237.0
423,24138.0
424,24133.0
425,24120.0
426,24108.0
427,24106.0
428,24059.0
429,24051.0
430,24013.0
431,23869.0
432,23795.0
433,23756.0
434,23659.0
435,23617.0
436,23484.0
437,23434.0
438,23404.0
439,23356.0
440,23315.0
441,23270.0
442,23265.0
443,23237.0
444,23229.0
445,23210.0
446,23209.0
447,23208.0
448,23076.0
449,23030.0
450,22930.0
451,22915.0
452,22859.0
453,22804.0
454,22804.0
455,22782.0
456,22750.0
457,22618.0
458,22588.0
459,22544.0
460,22502.0
461,22498.0
462,22496.0
463,22482.0
464,22480.0
465,22452.0
466,22443.0
467,22428.0
468,22388.0
469,22379.0
470,22370.0
471,22311.0
472,22261.0
473,22225.0
474,22198.0
475,22193.0
476,22167.0
477,22167.0
478,22159.0
479,22154.0
480,22102.0
481,22092.0
482,22010.0
483,21964.0
484,21929.0
485,21900.0
486,21899.0
487,21899.0
488,21855.0
489,21824.0
490,21787.0
491,21782.0
492,21736.0
493,21708.0
494,21602.0
495,21557.0
496,21542.0
497,21513.0
498,21392.0
499,20991.0
500,20965.0
501,20920.0
502,20816.0
503,20760.0
504,20509.0
505,20428.0
506,20391.0
507,20390.0
508,20041.0
509,19948.0
510,19844.0
511,19833.0
512,19802.0
513,19800.0
514,19800.0
515,19760.0
516,19757.0
517,19694.0
518,19608.0
519,19599.0
520,19402.0
521,19301.0
522,19075.0
523,19069.0
524,19065.0
525,18937.0
526,18804.0
527,18701.0
528,18629.0
529,18618.0
530,18569.0
531,18356.0
532,18342.0
533,18163.0
534,18099.0
535,18038.0
536,18005.0
537,18002.0
538,18000.0
539,17981.0
540,17558.0
541,17341.0
542,17313.0
543,17136.0
544,16564.0
545,16533.0
546,16479.0
547,16430.0
548,15954.0
549,15533.0
550,15323.0
551,15299.0
552,15015.0
553,14805.0
554,14514.0
555,14400.0
556,14232.0
557,13981.0
558,13886.0
559,13801.0
560,13644.0
561,13432.0
562,13165.0
563,13006.0
564,12733.0
565,12732.0
566,12542.0
567,12542.0
568,12496.0
569,12391.0
570,12089.0
571,12088.0
572,11557.0
573,11372.0
574,11087.0
575,10923.0
576,10920.0
577,10888.0
578,10880.0
579,10862.0
580,10858.0
581,10833.0
582,10809.0
583,10801.0
584,10801.0
585,10619.0
586,10343.0
587,10068.0
588,10051.0
589,10038.0
590,10019.0
591,9973.0
592,9949.0
593,9829.0
594,9690.0
595,9672.0
596,9531.0
597,9207.0
598,8866.0
599,8711.0
600,8608.0
601,8470.0
602,8142.0
603,8139.0
604,8092.0
605,7964.0
606,7904.0
607,7866.0
608,7805.0
609,7799.0
610,7535.0
611,7452.0
612,7434.0
613,7325.0
614,7255.0
615,7084.0
616,7077.0
617,6713.0
618,6436.0
619,6214.0
620,6129.0
621,6094.0
622,6028.0
623,5965.0
624,5954.0
625,5706.0
626,5474.0
627,5304.0
628,5285.0
629,5157.0
630,5154.0
631,5147.0
632,4957.0
633,4919.0
634,4831.0
635,4677.0
636,4526.0
637,4361.0
638,4266.0
639,4257.0
640,4253.0
641,4253.0
642,3656.0
643,3656.0
644,3620.0
645,3603.0
646,3603.0
647,3601.0
648,3600.0
649,3568.0
650,3529.0
651,3323.0
652,3256.0
653,3253.0
654,3238.0
655,3050.0
656,3000.0
657,2903.0
658,2903.0
659,2735.0
660,2729.0
661,2674.0
662,2617.0
663,2492.0
664,2479.0
665,2456.0
666,2395.0
667,2286.0
668,2250.0
669,2237.0
670,2225.0
671,2177.0
672,2175.0
673,2148.0
674,1948.0
675,1928.0
676,1892.0
677,1890.0
678,1836.0
679,1800.0
680,1800.0
681,1755.0
682,1745.0
683,1718.0
684,1713.0
685,1708.0
686,1705.0
687,1682.0
688,1673.0
689,1548.0
690,1540.0
691,1513.0
692,1511.0
693,1508.0
694,1471.0
695,1396.0
696,1340.0
697,1304.0
698,1269.0
699,1261.0
700,1257.0
701,1254.0
702,1253.0
703,1226.0
704,1216.0
705,1176.0
706,1158.0
707,1135.0
708,1118.0
709,1020.0
710,1003.0
711,993.0
712,961.0
713,940.0
714,925.0
715,918.0
716,901.0
717,900.0
718,863.0
719,860.0
720,850.0
721,845.0
722,822.0
723,816.0
724,803.0
725,770.0
726,765.0
727,737.0
728,704.0
729,684.0
730,627.0
731,612.0
732,603.0
733,572.0
734,558.0
735,540.0
736,510.0
737,506.0
738,482.0
739,448.0
740,425.0
741,423.0
742,420.0
743,387.0
744,386.0
745,385.0
746,385.0
747,385.0
748,371.0
749,371.0
750,366.0
751,366.0
752,360.0
753,352.0
754,351.0
755,347.0
756,342.0
757,337.0
758,334.0
759,333.0
760,328.0
761,327.0
762,324.0
763,316.0
764,307.0
765,304.0
766,304.0
767,303.0
768,303.0
769,295.0
770,269.0
771,266.0
772,260.0
773,251.0
774,248.0
775,247.0
776,240.0
777,235.0
778,231.0
779,229.0
780,208.0
781,208.0
782,189.0
783,188.0
784,179.0
785,178.0
786,176.0
787,166.0
788,165.0
789,162.0
790,161.0
791,161.0
792,161.0
793,160.0
794,159.0
795,159.0
796,159.0
797,159.0
798,156.0
799,153.0
800,153.0
801,152.0
802,149.0
803,147.0
804,147.0
805,146.0
806,144.0
807,137.0
808,137.0
809,137.0
810,136.0
811,133.0
812,132.0
813,129.0
814,129.0
815,125.0
816,124.0
817,124.0
818,122.0
819,120.0
820,118.0
821,118.0
822,118.0
823,117.0
824,115.0
825,114.0
826,114.0
827,113.0
828,113.0
829,112.0
830,111.0
831,111.0
832,111.0
833,110.0
834,110.0
835,110.0
836,109.0
837,109.0
838,109.0
839,109.0
840,108.0
841,108.0
842,108.0
843,108.0
844,108.0
845,107.0
846,106.0
847,106.0
848,106.0
849,106.0
850,106.0
851,106.0
852,105.0
853,105.0
854,105.0
855,105.0
856,105.0
857,104.0
858,104.0
859,104.0
860,104.0
861,103.0
862,103.0
863,103.0
864,103.0
865,103.0
866,103.0
867,103.0
868,103.0
869,103.0
870,102.0
871,102.0
872,102.0
873,102.0
874,102.0
875,102.0
876,102.0
877,102.0
878,102.0
879,101.0
880,101.0
881,101.0
882,101.0
883,101.0
884,101.0
885,100.0
886,100.0
887,99.0
888,99.0
889,99.0
890,99.0
891,99.0
892,99.0
893,99.0
894,98.0
895,98.0
896,98.0
897,98.0
898,98.0
899,98.0
900,98.0
901,98.0
902,97.0
903,97.0
904,97.0
905,97.0
906,97.0
907,96.0
908,96.0
909,96.0
910,96.0
911,95.0
912,95.0
913,95.0
914,95.0
915,95.0
916,94.0
917,94.0
918,94.0
919,94.0
920,94.0
921,94.0
922,93.0
923,93.0
924,93.0
925,93.0
926,92.0
927,92.0
928,92.0
929,92.0
930,92.0
931,92.0
932,91.0
933,91.0
934,91.0
935,91.0
936,90.0
937,90.0
938,90.0
939,90.0
940,90.0
941,90.0
942,89.0
943,89.0
944,89.0
945,89.0
946,89.0
947,89.0
948,89.0
949,88.0
950,88.0
951,88.0
952,88.0
953,88.0
954,88.0
955,88.0
956,87.0
957,87.0
958,87.0
959,87.0
960,87.0
961,87.0
962,87.0
963,87.0
964,87.0
965,87.0
966,86.0
967,86.0
968,86.0
969,86.0
970,86.0
971,86.0
972,86.0
973,86.0
974,86.0
975,86.0
976,86.0
977,85.0
978,85.0
979,85.0
980,85.0
981,85.0
982,85.0
983,85.0
984,85.0
985,85.0
986,85.0
987,85.0
988,85.0
989,85.0
990,85.0
991,85.0
992,84.0
993,84.0
994,84.0
995,84.0
996,84.0
997,84.0
998,84.0
999,84.0
1000,83.0
1001,83.0
1002,83.0
1003,83.0
1004,83.0
1005,83.0
1006,83.0
1007,83.0
1008,83.0
1009,83.0
1010,83.0
1011,82.0
1012,82.0
1013,82.0
1014,82.0
1015,82.0
1016,82.0
1017,82.0
1018,81.0
1019,81.0
1020,81.0
1021,80.0
1022,80.0
1023,80.0
1024,80.0
1025,80.0
1026,80.0
1027,80.0
1028,80.0
1029,80.0
1030,80.0
1031,80.0
1032,79.0
1033,79.0
1034,79.0
1035,79.0
1036,79.0
1037,79.0
1038,79.0
1039,78.0
1040,78.0
1041,78.0
1042,78.0
1043,78.0
1044,78.0
1045,78.0
1046,77.0
1047,77.0
1048,77.0
1049,77.0
1050,77.0
1051,77.0
1052,77.0
1053,76.0
1054,76.0
1055,76.0
1056,76.0
1057,76.0
1058,75.0
1059,75.0
1060,75.0
1061,75.0
1062,74.0
1063,74.0
1064,74.0
1065,74.0
1066,74.0
1067,74.0
1068,74.0
1069,74.0
1070,74.0
1071,74.0
1072,74.0
1073,73.0
1074,73.0
1075,73.0
1076,73.0
1077,73.0
1078,73.0
1079,73.0
1080,73.0
1081,73.0
1082,73.0
1083,72.0
1084,72.0
1085,72.0
1086,72.0
1087,72.0
1088,72.0
1089,72.0
1090,71.0
1091,71.0
1092,71.0
1093,71.0
1094,71.0
1095,71.0
1096,71.0
1097,71.0
1098,71.0
1099,71.0
1100,71.0
1101,71.0
1102,70.0
1103,70.0
1104,70.0
1105,70.0
1106,69.0
1107,69.0
1108,69.0
1109,68.0
1110,68.0
1111,68.0
1112,68.0
1113,68.0
1114,68.0
1115,68.0
1116,67.0
1117,67.0
1118,67.0
1119,67.0
1120,67.0
1121,67.0
1122,67.0
1123,67.0
1124,67.0
1125,66.0
1126,66.0
1127,66.0
1128,66.0
1129,66.0
1130,66.0
1131,66.0
1132,66.0
1133,66.0
1134,66.0
1135,65.0
1136,65.0
1137,65.0
1138,65.0
1139,65.0
1140,65.0
1141,65.0
1142,65.0
1143,64.0
1144,64.0
1145,64.0
1146,64.0
1147,64.0
1148,64.0
1149,64.0
1150,64.0
1151,63.0
1152,63.0
1153,63.0
1154,63.0
1155,63.0
1156,63.0
1157,63.0
1158,63.0
1159,63.0
1160,63.0
1161,63.0
1162,63.0
1163,62.0
1164,62.0
1165,62.0
1166,62.0
1167,62.0
1168,62.0
1169,62.0
1170,62.0
1171,61.0
1172,61.0
1173,61.0
1174,61.0
1175,61.0
1176,61.0
1177,61.0
1178,60.0
